label,kode,nama,id_provinsi
KOTA BAU BAU,74.72,KOTA BAU BAU,74
KAB. GORONTALO,75.01,KAB. GORONTALO,75
KAB. BOALEMO,75.02,KAB. BOALEMO,75
KAB. BONE BOLANGO,75.03,KAB. BONE BOLANGO,75
KAB. PAHUWATO,75.04,KAB. PAHUWATO,75
KAB. GORONTALO UTARA,75.05,KAB. GORONTALO UTARA,75
KOTA GORONTALO,75.71,KOTA GORONTALO,75
KAB. PASANGKAYU,76.01,KAB. PASANGKAYU,76
KAB. MAMUJU,76.02,KAB. MAMUJU,76
KAB. MAMASA,76.03,KAB. MAMASA,76
KAB. POLEWALI MANDAR,76.04,KAB. POLEWALI MANDAR,76
KAB. MAJENE,76.05,KAB. MAJENE,76
KAB. MAMUJU TENGAH,76.06,KAB. MAMUJU TENGAH,76
KAB. MALUKU TENGAH,81.01,KAB. MALUKU TENGAH,81
KAB. MALUKU TENGGARA,81.02,KAB. MALUKU TENGGARA,81
KAB. KEPULAUAN TANIMBAR,81.03,KAB. KEPULAUAN TANIMBAR,81
KAB. BURU,81.04,KAB. BURU,81
KAB. SERAM BAGIAN TIMUR,81.05,KAB. SERAM BAGIAN TIMUR,81
KAB. SERAM BAGIAN BARAT,81.06,KAB. SERAM BAGIAN BARAT,81
KAB. KEPULAUAN ARU,81.07,KAB. KEPULAUAN ARU,81
KAB. MALUKU BARAT DAYA,81.08,KAB. MALUKU BARAT DAYA,81
KAB. BURU SELATAN,81.09,KAB. BURU SELATAN,81
KOTA AMBON,81.71,KOTA AMBON,81
KOTA TUAL,81.72,KOTA TUAL,81
KAB. HALMAHERA BARAT,82.01,KAB. HALMAHERA BARAT,82
KAB. HALMAHERA TENGAH,82.02,KAB. HALMAHERA TENGAH,82
KAB. HALMAHERA UTARA,82.03,KAB. HALMAHERA UTARA,82
KAB. HALMAHERA SELATAN,82.04,KAB. HALMAHERA SELATAN,82
KAB. KEPULAUAN SULA,82.05,KAB. KEPULAUAN SULA,82
KAB. HALMAHERA TIMUR,82.06,KAB. HALMAHERA TIMUR,82
KAB. PULAU MOROTAI,82.07,KAB. PULAU MOROTAI,82
KAB. PULAU TALIABU,82.08,KAB. PULAU TALIABU,82
KOTA TERNATE,82.71,KOTA TERNATE,82
KOTA TIDORE KEPULAUAN,82.72,KOTA TIDORE KEPULAUAN,82
KAB. MERAUKE,91.01,KAB. MERAUKE,91
KAB. JAYAWIJAYA,91.02,KAB. JAYAWIJAYA,91
KAB. JAYAPURA,91.03,KAB. JAYAPURA,91
KAB. NABIRE,91.04,KAB. NABIRE,91
KAB. KEPULAUAN YAPEN,91.05,KAB. KEPULAUAN YAPEN,91
KAB. BIAK NUMFOR,91.06,KAB. BIAK NUMFOR,91
KAB. PUNCAK JAYA,91.07,KAB. PUNCAK JAYA,91
KAB. PANIAI,91.08,KAB. PANIAI,91
KAB. MIMIKA,91.09,KAB. MIMIKA,91
KAB. SARMI,91.10,KAB. SARMI,91
KAB. KEEROM,91.11,KAB. KEEROM,91
KAB PEGUNUNGAN BINTANG,91.12,KAB PEGUNUNGAN BINTANG,91
KAB. YAHUKIMO,91.13,KAB. YAHUKIMO,91
KAB. TOLIKARA,91.14,KAB. TOLIKARA,91
KAB. WAROPEN,91.15,KAB. WAROPEN,91
KAB. BOVEN DIGOEL,91.16,KAB. BOVEN DIGOEL,91
KAB. MAPPI,91.17,KAB. MAPPI,91
KAB. ASMAT,91.18,KAB. ASMAT,91
KAB. SUPIORI,91.19,KAB. SUPIORI,91
KAB. MAMBERAMO RAYA,91.20,KAB. MAMBERAMO RAYA,91
KAB. MAMBERAMO TENGAH,91.21,KAB. MAMBERAMO TENGAH,91
KAB. YALIMO,91.22,KAB. YALIMO,91
KAB. LANNY JAYA,91.23,KAB. LANNY JAYA,91
KAB. NDUGA,91.24,KAB. NDUGA,91
KAB. PUNCAK,91.25,KAB. PUNCAK,91
KAB. DOGIYAI,91.26,KAB. DOGIYAI,91
KAB. INTAN JAYA,91.27,KAB. INTAN JAYA,91
KAB. DEIYAI,91.28,KAB. DEIYAI,91
KOTA JAYAPURA,91.71,KOTA JAYAPURA,91
KAB. SORONG,92.01,KAB. SORONG,92
KAB. MANOKWARI,92.02,KAB. MANOKWARI,92
KAB. FAK FAK,92.03,KAB. FAK FAK,92
KAB. SORONG SELATAN,92.04,KAB. SORONG SELATAN,92
KAB. RAJA AMPAT,92.05,KAB. RAJA AMPAT,92
KAB. TELUK BINTUNI,92.06,KAB. TELUK BINTUNI,92
KAB. TELUK WONDAMA,92.07,KAB. TELUK WONDAMA,92
KAB. KAIMANA,92.08,KAB. KAIMANA,92
KAB. TAMBRAUW,92.09,KAB. TAMBRAUW,92
KAB. MAYBRAT,92.10,KAB. MAYBRAT,92
KAB. MANOKWARI SELATAN,92.11,KAB. MANOKWARI SELATAN,92
KAB. PEGUNUNGAN ARFAK,92.12,KAB. PEGUNUNGAN ARFAK,92
KOTA SORONG,92.71,KOTA SORONG,92
